epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70644,2.16256,2.31096,1.39171,0.01982,0.71311,0.23673,0.10693,1.85978,2.97014,1.285,0.000648649,0.000648649,0.000648649
2,13.1223,2.01395,1.51319,1.29404,0.7244,0.1117,0.21796,0.09762,2.05929,2.80759,1.46714,0.00128927,0.00128927,0.00128927
3,19.3716,2.02405,1.42442,1.29699,0.63019,0.49206,0.53341,0.2392,1.94233,1.60858,1.34092,0.0019035,0.0019035,0.0019035
4,25.5322,2.01432,1.40006,1.27796,0.57666,0.394,0.40719,0.18007,2.02888,1.85005,1.43738,0.0018812,0.0018812,0.0018812
5,31.6731,2.03863,1.35735,1.30262,0.6048,0.46243,0.49848,0.23789,1.89573,1.61778,1.35511,0.0018416,0.0018416,0.0018416
6,37.824,2.0149,1.45998,1.29026,0.58919,0.47208,0.51301,0.23536,1.9337,1.52384,1.34849,0.001802,0.001802,0.001802
7,43.9875,1.99918,1.29708,1.2751,0.61718,0.52317,0.52846,0.25786,1.8731,1.53955,1.27727,0.0017624,0.0017624,0.0017624
8,50.1659,1.97644,1.27887,1.26727,0.6298,0.60108,0.63766,0.28894,1.90543,1.28539,1.31172,0.0017228,0.0017228,0.0017228
9,56.2864,1.93796,1.21376,1.25806,0.68602,0.59318,0.64854,0.28472,1.89624,1.28912,1.33629,0.0016832,0.0016832,0.0016832
10,62.4045,1.97878,1.26627,1.28506,0.72488,0.63904,0.69997,0.3087,1.92735,1.24168,1.34244,0.0016436,0.0016436,0.0016436
11,68.5981,1.93021,1.19973,1.26188,0.70705,0.57672,0.62436,0.2934,1.88362,1.28125,1.3279,0.001604,0.001604,0.001604
12,74.876,1.93966,1.17193,1.2449,0.70472,0.60494,0.65079,0.30146,1.89036,1.26297,1.30078,0.0015644,0.0015644,0.0015644
13,80.9743,1.90918,1.15724,1.25929,0.77159,0.62199,0.69679,0.33066,1.8494,1.18467,1.28709,0.0015248,0.0015248,0.0015248
14,87.1,1.93651,1.20544,1.2692,0.70292,0.63707,0.67918,0.30363,1.93267,1.19852,1.315,0.0014852,0.0014852,0.0014852
15,93.2414,1.9143,1.15836,1.24449,0.6684,0.54746,0.58256,0.27779,1.90323,1.34138,1.33701,0.0014456,0.0014456,0.0014456
16,99.3721,1.91147,1.1443,1.25382,0.71253,0.60035,0.65298,0.30086,1.92558,1.227,1.34895,0.001406,0.001406,0.001406
17,105.528,1.86718,1.11475,1.24026,0.71125,0.59807,0.66536,0.31436,1.83008,1.19888,1.29398,0.0013664,0.0013664,0.0013664
18,111.626,1.89255,1.12928,1.24701,0.71443,0.63686,0.69474,0.32111,1.86402,1.1784,1.30471,0.0013268,0.0013268,0.0013268
19,117.785,1.89099,1.11478,1.22364,0.74673,0.67607,0.72662,0.33638,1.88291,1.12572,1.29935,0.0012872,0.0012872,0.0012872
20,123.903,1.89673,1.12024,1.23842,0.72372,0.59788,0.67117,0.31945,1.89269,1.21109,1.30083,0.0012476,0.0012476,0.0012476
21,130.017,1.89317,1.1487,1.24421,0.73835,0.5726,0.66202,0.31415,1.86843,1.22492,1.30739,0.001208,0.001208,0.001208
22,135.998,1.8896,1.0997,1.23359,0.75358,0.62565,0.70245,0.3315,1.86682,1.18003,1.28408,0.0011684,0.0011684,0.0011684
23,142.03,1.87886,1.12401,1.23293,0.76243,0.62493,0.70472,0.32884,1.86247,1.15724,1.29577,0.0011288,0.0011288,0.0011288
24,148.125,1.8665,1.07688,1.22939,0.76557,0.60729,0.68489,0.32217,1.85994,1.19881,1.28154,0.0010892,0.0010892,0.0010892
25,154.46,1.87585,1.08444,1.2562,0.74944,0.66373,0.71228,0.31696,1.9347,1.15549,1.32405,0.0010496,0.0010496,0.0010496
26,160.966,1.86255,1.08246,1.22481,0.76445,0.64198,0.71347,0.33362,1.87935,1.14319,1.28162,0.00101,0.00101,0.00101
27,167.603,1.82739,1.05502,1.2151,0.75937,0.6048,0.69637,0.33115,1.84889,1.19613,1.29208,0.0009704,0.0009704,0.0009704
28,174.288,1.86416,1.09446,1.2263,0.7358,0.6582,0.7126,0.33389,1.86011,1.10221,1.29597,0.0009308,0.0009308,0.0009308
29,180.629,1.8588,1.0341,1.21224,0.76897,0.57921,0.66592,0.32134,1.86849,1.18658,1.31308,0.0008912,0.0008912,0.0008912
30,187.302,1.84916,1.06516,1.20448,0.76867,0.65197,0.72213,0.33781,1.87454,1.11431,1.30988,0.0008516,0.0008516,0.0008516
31,193.778,1.82469,1.02244,1.20243,0.79424,0.60611,0.69827,0.32561,1.88609,1.16434,1.30823,0.000812,0.000812,0.000812
32,200.398,1.81298,1.03314,1.20311,0.77131,0.63845,0.71782,0.3424,1.84997,1.10222,1.28576,0.0007724,0.0007724,0.0007724
33,206.703,1.80767,1.04298,1.2016,0.74457,0.63786,0.69302,0.32813,1.85641,1.12684,1.28955,0.0007328,0.0007328,0.0007328
34,213.23,1.81863,1.00747,1.20657,0.73235,0.61787,0.68404,0.33046,1.85481,1.16722,1.29015,0.0006932,0.0006932,0.0006932
35,219.74,1.82779,1.03107,1.20711,0.77538,0.64962,0.72808,0.34404,1.8582,1.09712,1.30055,0.0006536,0.0006536,0.0006536
36,225.786,1.79488,1.01603,1.20074,0.72608,0.6214,0.69026,0.32314,1.8909,1.18457,1.31108,0.000614,0.000614,0.000614
37,232.055,1.83143,1.01723,1.20922,0.75732,0.64027,0.71819,0.3392,1.87625,1.09733,1.30362,0.0005744,0.0005744,0.0005744
38,238.427,1.74101,1.00543,1.20541,0.76064,0.64139,0.71298,0.33328,1.88097,1.12523,1.31091,0.0005348,0.0005348,0.0005348
39,244.625,1.80118,0.99617,1.1976,0.76279,0.65256,0.72377,0.33803,1.89192,1.10159,1.30852,0.0004952,0.0004952,0.0004952
40,250.799,1.74394,1.46548,1.15486,0.76967,0.65221,0.72702,0.33885,1.89114,1.09183,1.31141,0.0004556,0.0004556,0.0004556
41,281.469,1.83278,1.05095,1.22332,0.75935,0.62904,0.70186,0.33217,1.8579,1.13973,1.29987,0.000416,0.000416,0.000416
42,287.511,1.79638,0.98205,1.21995,0.7709,0.66138,0.73066,0.3447,1.85857,1.06076,1.29665,0.0003764,0.0003764,0.0003764
43,293.585,1.80992,0.99481,1.20133,0.76129,0.65726,0.72233,0.3378,1.87407,1.06904,1.30435,0.0003368,0.0003368,0.0003368
